Régime particulier,Nombre places calculées,Adresse complète,Type mobilier,Numéro mobilier,geo_point_2d,Tarif
Vélos,2,5 RUE MSTISLAV ROSTROPOVITCH,Nougarette,1,"48.888830804708654, 2.3153699011583573",Gratuit
Vélos,10,16 BD POISSONNIERE,Nougarette,5,"48.87109295929812, 2.346031771551488",Gratuit
Vélos,50,50 BD DE BERCY,Nougarette,25,"48.83982344905734, 2.382752303538434",Gratuit
Vélos,4,121 RUE DE CLIGNANCOURT,Nougarette,2,"48.89340394994186, 2.3490617045158277",Gratuit
Vélos,6,11 RUE PARROT,Nougarette,3,"48.84695862718158, 2.373995528474796",Gratuit
Vélos,12,72 BD MALESHERBES,Nougarette,6,"48.8788123866912, 2.315273826876128",Gratuit
Vélos,14,82 BD MALESHERBES,Nougarette,7,"48.87987772384981, 2.313975960407979",Gratuit
Vélos,10,40 RUE DE CONSTANTINOPLE,Nougarette,5,"48.88110117591413, 2.3170781450006745",Gratuit
Vélos,18,14 BD LANNES,Nougarette,9,"48.86926921108103, 2.2736425319881866",Gratuit
Vélos,15,82 RUE SAINT-HONORE,Sans,0,"48.86140820473842, 2.3428884102247864",Gratuit
Vélos,26,11 RUE D' ANTIN,Nougarette,13,"48.86898461059348, 2.3333923129878715",Gratuit
Vélos,22,10 RUE MICHEL CHASLES,Nougarette,11,"48.84707449667692, 2.373901762640701",Gratuit
Vélos,12,2 RUE CAMBON,Nougarette,6,"48.866308837582274, 2.325290098864787",Gratuit
Vélos,8,33 RUE DU QUATRE SEPTEMBRE,Nougarette,4,"48.870107210473336, 2.333834874137169",Gratuit
Vélos,3,1 RUE JACOB,Epingle vélo,3,"48.85451732709762, 2.336732400014227",Gratuit
Vélos,10,16 RUE POULLETIER,Nougarette,5,"48.85134892154719, 2.3581694228276686",Gratuit
Vélos,6,50 AV LEDRU-ROLLIN,Nougarette,3,"48.84808902441032, 2.3716589272624846",Gratuit
Vélos,12,26 RUE D' ATHENES,Nougarette,6,"48.877946675022216, 2.327179316790134",Gratuit
Vélos,6,25 RUE HAXO,Nougarette,3,"48.87081704879314, 2.404715656339836",Gratuit
Vélos,10,2 RUE AUDUBON,Epingle vélo,10,"48.845649482285424, 2.3696966874893786",Gratuit
Vélos,2,34 RUE NICOLAI,Epingle vélo,2,"48.83665007644213, 2.3952362034217862",Gratuit
Vélos,2,11 RUE DE JAVEL,Nougarette,1,"48.84687473501531, 2.279915862721923",Gratuit
